epoch,train loss,train acc,test loss,test acc
0,1.5217931622113936,94.795,1.5337807551408424,96.53
1,1.497010196885492,97.06,1.519532200617668,97.95
2,1.4921530357792847,97.53833333333333,1.5158774699920263,98.25
3,1.4896534752641988,97.79833333333333,1.5205421233788514,97.82
3,1.8204641591789377,64.77,1.986563434967628,51.93
4,1.714341090275691,75.39333333333333,2.0868403055729012,41.77
5,1.678937295053759,78.93833333333333,2.0148786275814743,49.48
6,1.6674599341857128,80.05666666666667,2.243095251230093,27.06
0,1.5179807879985907,95.09833333333333,1.5301907398761847,96.9
1,1.4970970566456134,97.06666666666666,1.5250649727307832,97.36
2,1.4933589100837708,97.425,1.5224288243513842,97.59
7,1.6569969847670987,81.075,2.051441131493984,45.38
